Title,Brand,Price,ItemStatus,NbFavourite,UserRating,NbEvalUser,Description,URL,Type,prix_median_groupe,favoris_median_groupe,z_score_prix,bonne_affaire
The North face Pullover schwarz ,The North Face,14.0,4.0,11,4.8,36.0,"Gut erhaltener schwarzer The north face pullover, Grösse S, keine Mängel",https://www.vinted.fr/items/2484309352-the-north-face-pullover-schwarz,sweats,17.0,4.0,-0.5050400877647909,1
Cappello invernale berretto invernale Carhartt,Carhartt,20.0,3.0,0,4.9,336.0,,https://www.vinted.fr/items/6009183698-cappello-invernale-berretto-invernale-carhartt,casquettes,15.0,5.0,1.0493132149290272,0
Sweat,The North Face,10.0,3.0,13,4.8,21.0,Sweat THE NORTH FACE,https://www.vinted.fr/items/5943322586-sweat,sweats,17.0,4.0,-1.0495619568488193,1
Carhartt sweater ,Carhartt,9.0,3.0,12,5.0,2.0,"Wurde sehr selten getragen und befindet sich in einem gutem Zustand.



Bei weiteren Fragen bitte melden :)",https://www.vinted.fr/items/2938279860-carhartt-sweater,sweats,25.0,6.0,-1.6614682969659418,0
Casquette carhartt noir brodé blanche.,Carhartt,24.0,3.0,6,,,,https://www.vinted.fr/items/6014294679-casquette-carhartt-noir-brode-blanche,casquettes,15.0,5.0,1.854784328220111,0
Zwarte trui van The North Face,The North Face,16.0,4.0,11,5.0,1.0,Gedragen,https://www.vinted.fr/items/5960331867-zwarte-trui-van-the-north-face,sweats,17.0,4.0,-0.23277915322277673,0
Carhartt »Detroid« Cap ,Carhartt,10.0,3.0,7,5.0,98.0,,https://www.vinted.fr/items/708353618-carhartt-detroid-cap,casquettes,15.0,5.0,-0.9643645682986828,1
Rosafarbene Mütze ungetragen,Carhartt,15.0,2.0,10,5.0,62.0,,https://www.vinted.fr/items/5798730456-rosafarbene-mutze-ungetragen,casquettes,15.0,5.0,0.04247432331517214,0
Carhartt Winter Parka Jacke Größe S schwarz,Carhartt,30.0,3.0,0,4.9,18.0,"Wenig getragener Anorak mit Kapuze von Carhartt. Reißverschluss und Druckknöpfe zum
Verschließen. Bänder in der Taille zum
Engermachen. Gefüttert. Innenfutter Teddyfutter. Auch in der Kapuze. Außen 4 Taschen. Eine Innentasche 
Ärmel können enger geknöpft werden. Lieblingsjacke! Leider zu klein.",https://www.vinted.fr/items/6025586110-carhartt-winter-parka-jacke-grosse-s-schwarz,manteaux,51.0,7.0,-0.9339396392593768,0
The North Face Pullover ,The North Face,15.0,4.0,13,5.0,1.0,Original siehe Bilder,https://www.vinted.fr/items/2768579179-the-north-face-pullover,sweats,17.0,4.0,-0.36890962049378384,0
Carhartt Mentor Jacket,Carhartt,30.0,3.0,11,5.0,54.0,"Top Zustand. Teddyfell Futter/ sherpa lined. Also schön warm.
Mit Kapuze",https://www.vinted.fr/items/5725392613-carhartt-mentor-jacket,manteaux,51.0,7.0,-0.9339396392593768,1
Grauer Sweater - Carhartt,Carhartt,19.0,3.0,8,4.6,21.0,Oft getragen,https://www.vinted.fr/items/1683256585-grauer-sweater-carhartt,sweats,25.0,6.0,-0.5767269980041129,1
Sweat the north face,The North Face,5.0,,1,4.5,8.0,Sweat porté pas mal de fois avec un petit défaut mais propre,https://www.vinted.fr/items/6041521814-sweat-the-north-face,sweats,17.0,4.0,-1.7302142932038547,0
The North Face Männer Pulli ,The North Face,18.0,4.0,2,4.8,20.0,North Face Vintage Männer Pulli mit Fisch Muster,https://www.vinted.fr/items/3604618380-the-north-face-manner-pulli,sweats,17.0,4.0,0.039481781319237415,0
Carhartt WIP Tropper Parka,Carhartt,120.0,3.0,6,,,"Kaum getragen und in top Zustand, keine Mängel vorhanden",https://www.vinted.fr/items/1362781961-carhartt-wip-tropper-parka,manteaux,51.0,7.0,1.5149984022494882,0
The North Face Pullover,The North Face,14.0,3.0,1,5.0,312.0,Kaum getragen. Sehr guter Zustand. Fällt normal aus,https://www.vinted.fr/items/5619326477-the-north-face-pullover,sweats,17.0,4.0,-0.5050400877647909,0
Veste polaire marron The North Face - Taille XL Homme,The North Face,17.9,3.0,4,4.6,70.0,"🔹 Veste polaire marron The North Face - Taille XL Homme 🔹

Je vends cette superbe veste polaire The North Face en taille XL pour homme.
✔️ Couleur : Marron
✔️ Matière : Polaire douce et chaude
✔️ Fermeture : Zip 1/4 au niveau du col
✔️ État : Très bon état

Parfaite pour les activités en extérieur, la randonnée ou un look casual et confortable au quotidien. 🔥

📦 Envoi rapide 📍 Remise en main propre possible

N’hésitez pas à me contacter pour plus d’infos ! 😊

#TheNorthFace #VestePolaire #Outdoor #Randonnée #ModeHomme #Streetwear #XL #Hiver #Sport #Casual #tnf700",https://www.vinted.fr/items/6012813853-veste-polaire-marron-the-north-face-taille-xl-homme,sweats,17.0,4.0,0.025868734592136514,0
Carhartt Pulli S,Carhartt,10.0,3.0,7,4.9,74.0,"Guter Zustand, selten getragen, Druck unbeschädigt",https://www.vinted.fr/items/6004603775-carhartt-pulli-s,sweats,25.0,6.0,-1.552994167069759,1
Sweat à enfiler The North Face Gris Flocage Bleu Taille M homme,The North Face,20.0,3.0,0,5.0,97.0,"🧥 Marque : The North Face

📝 Modèle : Sweat à enfiler

🎨 Couleur : Gris avec flocage bleu

📏 Taille : M (Homme)

✨ État : Très bon état

📦 Description : Sweat à enfiler The North Face gris avec un flocage bleu sur le torse. Style classique et intemporel, idéal pour un look décontracté ou sportif.

#TheNorthFace #SweatTheNorthFace #ModeHomme #SweatGris #FlocageBleu #StyleDécontracté #ModeOutdoor #CasualLook #TheNorthFaceOriginal #VêtementHommeTendance",https://www.vinted.fr/items/6017333808-sweat-a-enfiler-the-north-face-gris-flocage-bleu-taille-m-homme,sweats,17.0,4.0,0.3117427158612516,0
Zwarte trui van the north face.,The North Face,9.5,3.0,13,4.9,17.0,"Deze trui is amper gedragen en dus nog in hele goede staat, de trui is in maat m.",https://www.vinted.fr/items/5999102982-zwarte-trui-van-the-north-face,sweats,17.0,4.0,-1.1176271904843227,0
Carhartt Winterjacke (L),Carhartt,71.0,3.0,0,4.9,110.0,,https://www.vinted.fr/items/5999624129-carhartt-winterjacke-l,manteaux,51.0,7.0,0.18168769076132835,0
Pullover,Carhartt,15.0,4.0,1,5.0,8.0,"gelber Carhartt Pullover 
Größe M",https://www.vinted.fr/items/5898080201-pullover,sweats,25.0,6.0,-1.0106235175888445,0
Northface trui maat S,The North Face,7.99,4.0,6,4.8,104.0,Northface trui,https://www.vinted.fr/items/6036354803-northface-trui-maat-s,sweats,17.0,4.0,-1.3231841960635433,1
Carhartt Mütze ,Carhartt,10.0,3.0,0,4.7,58.0,,https://www.vinted.fr/items/4106646745-carhartt-mutze,casquettes,15.0,5.0,-0.9643645682986828,0
Patta Carhartt Pullover M,Carhartt,15.0,4.0,7,5.0,733.0,Siehe letztes Bild: Fleck vorhanden,https://www.vinted.fr/items/5553701806-patta-carhartt-pullover-m,sweats,25.0,6.0,-1.0106235175888445,1
Sweat,The North Face,10.0,3.0,13,4.8,21.0,Sweat THE NORTH FACE,https://www.vinted.fr/items/5943322586-sweat,sweats,17.0,4.0,-1.0495619568488193,1
Taille M,The North Face,18.0,3.0,1,4.8,1201.0,Taille M,https://www.vinted.fr/items/6029273886-taille-m,sweats,17.0,4.0,0.039481781319237415,0
pull the north face,The North Face,9.0,3.0,10,3.3,15.0,très bon état avec une légère décoloration au niveau de la poche de la manche mais très léger,https://www.vinted.fr/items/4482673632-pull-the-north-face,sweats,17.0,4.0,-1.1856924241198263,0
Carhartt Cap,Carhartt,20.0,3.0,3,4.7,30.0,,https://www.vinted.fr/items/6029518945-carhartt-cap,casquettes,15.0,5.0,1.0493132149290272,0
Carhartt Winterjacke M,Carhartt,25.0,4.0,12,4.9,29.0,Ich verkaufe eine Winterjacke der Firma Carhartt in der Größe M.,https://www.vinted.fr/items/5754551136-carhartt-winterjacke-m,manteaux,51.0,7.0,-1.069991752676536,1
schwarzer Sweater von Carhartt,Carhartt,25.0,3.0,10,5.0,1.0,Sehr gut erhaltener schwarzer Sweater von Carhartt in Gr. S,https://www.vinted.fr/items/2732857738-schwarzer-sweater-von-carhartt,sweats,25.0,6.0,0.07411778137298439,0
graue Mütze von Carhartt,Carhartt,6.0,3.0,20,5.0,412.0,Die Mütze ist in einem sehr guten Zustand.,https://www.vinted.fr/items/5922771574-graue-mutze-von-carhartt,casquettes,15.0,5.0,-1.7698356815897667,1
The North Face Sweater Weiß,The North Face,12.0,4.0,10,5.0,13.0,"Weicher Stoff, Neupreis lag bei 80€",https://www.vinted.fr/items/2933223719-the-north-face-sweater-weiss,sweats,17.0,4.0,-0.7773010223068051,0
Carhartt Sweater grau,Carhartt,19.0,3.0,9,4.9,125.0,Fällt eher aus wie eine M/L,https://www.vinted.fr/items/5979370884-carhartt-sweater-grau,sweats,25.0,6.0,-0.5767269980041129,1
Giacca giubotto carhartt,Carhartt,120.0,1.0,2,4.9,147.0,"CARHARTT WIP
Carhartt WIP Fairmount Jeansjacke
Colore bianco panna
Nuovo mai usato
100% legit
Taglia L
Spedizione veloce e ben protetta",https://www.vinted.fr/items/5968243963-giacca-giubotto-carhartt,manteaux,51.0,7.0,1.5149984022494882,0
Carhartt Beanie Mütze,Carhartt,8.0,4.0,1,4.9,52.0,,https://www.vinted.fr/items/5837942767-carhartt-beanie-mutze,casquettes,15.0,5.0,-1.3671001249442247,0
Carhartt Trucker Cap Kappe,Carhartt,7.0,4.0,6,4.9,181.0,,https://www.vinted.fr/items/5847548673-carhartt-trucker-cap-kappe,casquettes,15.0,5.0,-1.5684679032669957,1
"Carhartt Crewneck (Pulli, Sweater)",Carhartt,35.0,3.0,5,5.0,9.0,"Schwarzer Carhartt Crewneck
Größe: L
Sehr guter Zustand 
100% Baumwolle



#carhartt #peso #pesoclo #6pm #6pmseason #nike #systemic",https://www.vinted.fr/items/5338963211-carhartt-crewneck-pulli-sweater,sweats,25.0,6.0,1.158859080334813,0
Carhartt Battle Parka Gr. M neuwertig!,Carhartt,45.0,2.0,12,5.0,308.0,"Verkaufe einen so gut wie neuen „Battle“ Parka von Carhartt Größe M in olivgrün.
Habe den Parka letztes Jahr gekauft und lediglich zwei, dreimal getragen, da er mir zu klein ist. 

Neupreis betrug 149 €! 

Privatverkauf. Keine Rücknahme, keine Garantie.",https://www.vinted.fr/items/5849593631-carhartt-battle-parka-gr-m-neuwertig,manteaux,51.0,7.0,-0.5257832990078993,1
Jacke,Carhartt,30.0,3.0,8,4.9,220.0,Jacke,https://www.vinted.fr/items/5526655820-jacke,manteaux,51.0,7.0,-0.9339396392593768,1
Carhartt Sweater Hanover Township in dunkelblau,Carhartt,40.0,3.0,4,4.9,36.0,"Vintage Carhartt Sweater/Pulli Hanover
Township DPW
- System Bezahlung, Paypal✅
- Größe M
- oversize
- selten
- guter Zustand
- 100% original✅
Bei Interesse oder Fragen gerne melden!
Bin 178cm groß und er passt mir gut 
#carharttwip #carharttvintage
#carharttworkwear #lacostesweater #strickpullover
#vintage #pullover #pulli #ralphlauren",https://www.vinted.fr/items/5973504717-carhartt-sweater-hanover-township-in-dunkelblau,sweats,25.0,6.0,1.7012297298157275,0
Carhartt Mütze,Carhartt,15.0,2.0,5,5.0,3.0,Nie getragen!,https://www.vinted.fr/items/6024965021-carhartt-mutze,casquettes,15.0,5.0,0.04247432331517214,0
The North Face Pullover,The North Face,25.0,3.0,3,5.0,4.0,"Schöner, selten getragener Pullover",https://www.vinted.fr/items/5978363150-the-north-face-pullover,sweats,17.0,4.0,0.992395052216287,0
The North Face Sweater,The North Face,30.0,3.0,0,,,"‼️KEIN KAUF ÜBER DAS SYSTEM‼️
‼️NUR ÜBERWEISUNG/PAYPAL MÖGLICH‼️
Dunkelgrau/blau
Oversized 
Größe M",https://www.vinted.fr/items/5500570893-the-north-face-sweater,sweats,17.0,4.0,1.6730473885713224,0
T-shirt manche longue TNF,The North Face,10.0,3.0,4,5.0,3.0,"Taille : L
Porter quelques fois",https://www.vinted.fr/items/5998914242-t-shirt-manche-longue-tnf,sweats,17.0,4.0,-1.0495619568488193,0
Sweater Carhartt,Carhartt,15.0,4.0,7,5.0,21.0,"Sweater Carhartt, maat S. Nog in goede staat maar wel een paar zwarte vlekjes op de boord aan de achterkant. Zie laatste foto",https://www.vinted.fr/items/6021569921-sweater-carhartt,sweats,25.0,6.0,-1.0106235175888445,1
Carhartt Cap C Navy,Carhartt,20.0,3.0,8,4.9,133.0,Verkaufe sehr gut erhaltene Carthartt Cap in Navy Blau,https://www.vinted.fr/items/5977679946-carhartt-cap-c-navy,casquettes,15.0,5.0,1.0493132149290272,0
Mütze von Carhartt,Carhartt,7.0,4.0,19,5.0,144.0,#carhartt #carharrtmütze #wintermütze #carharttwintermütze,https://www.vinted.fr/items/5529097617-mutze-von-carhartt,casquettes,15.0,5.0,-1.5684679032669957,1
Bommel Mütze,Carhartt,10.0,3.0,0,4.9,54.0,"Schwarze Bommelmütze von Carhartt, kaum getragen",https://www.vinted.fr/items/6025239968-bommel-mutze,casquettes,15.0,5.0,-0.9643645682986828,0
Carhartt Sweater ,Carhartt,40.0,2.0,24,4.2,5.0,"verkaufe ein seltenen getragenen Carhartt Sweater. 

Bei fragen gerne fragen 👍 

bitte mich vor kauf anschreiben und nicht auf direkt kauf, danke für ihr Verständnis.",https://www.vinted.fr/items/1391980216-carhartt-sweater,sweats,25.0,6.0,1.7012297298157275,0
Northface Pullover,The North Face,29.0,2.0,15,4.9,82.0,"Einmal getragen, hab ihn leider in der falschen Größe bestellt :( 
Bei Fragen gerne melden🤗

#tnf #thenorthface #sweater #türkis #vintage #vinted #streetwearstyle",https://www.vinted.fr/items/5087090422-northface-pullover,sweats,17.0,4.0,1.5369169213003153,0
North face hoodie ,The North Face,10.0,3.0,6,5.0,24.0,"Guter Zustand
Bei Fragen gerne melden 😊",https://www.vinted.fr/items/3786763147-north-face-hoodie,sweats,17.0,4.0,-1.0495619568488193,1
Pull North face homme,The North Face,12.0,3.0,7,4.9,449.0,"Très peu porté.
⚠️ Mais couleur moins vive qu'à l'achat ⚠️",https://www.vinted.fr/items/6034298211-pull-north-face-homme,sweats,17.0,4.0,-0.7773010223068051,1
Carhartt Battle Parka Camo M,Carhartt,40.0,3.0,17,5.0,456.0,Size M. Sehr guter Zustand. Dünner Parka nicht für den Winter geeignet,https://www.vinted.fr/items/5599036662-carhartt-battle-parka-camo-m,manteaux,51.0,7.0,-0.6618354124250585,1
The North Face Vintage Fleece Pullover Herren L Schwarz Half Zip,The North Face,25.0,3.0,2,5.0,396.0,"Schulter zu Schulter: (Breite): 48cm
Achsel zu Achsel: (Breite): 54cm
Nacken bis Bund: (Länge): 71cm 
(Die Angaben können um 3 cm variieren)
Überprüfe die Maße an eigener Vergleichskleidung, um einen Fehlkauf zu vermeiden. Sonst frag uns gerne.
Zustandsranking: 10/10

Ich gebe gerne bis zu 50% Mengenrabatt bei kauf von mehreren Artikeln.

Nice zu rocken.
Wenn du nett fragst, können wir gerne Verhandeln. 🥳
Ich brauche Platz, daher werden wir uns auf eine guten Preis einigen können. 
Bevorzugter Versand über DHL, Hermes oder UPS.

Folge gerne für mehr nice Pieces. Ich lade hier regelmäßig neuen Stuff hoch. 🥰

Ich reserviere maximal 24 Stunden. Wenn die Zahlung nach Ablauf nicht eingegangen ist, geht der Artikel wieder online. 

Wenn du den Rückversand übernimmst, gebe ich dir gerne Geld zurück Garantie. 
 
Bezahlung über Vinted, PayPal oder Banküberweisung möglich. 

Keine Fitpics.

#VintagePullover #Strickpullover #VintageStyle #RetroFashion #SecondHandMode #NachhaltigeMode #VintageLover #PulloverWetter #KuscheligWarm #ModeMitGeschichte #Uniqefinds #90sFashion #80sStyle #CozyVintage #WinterOutfit",https://www.vinted.fr/items/6027657188-the-north-face-vintage-fleece-pullover-herren-l-schwarz-half-zip,sweats,17.0,4.0,0.992395052216287,0
Pullover von the north face,The North Face,15.0,4.0,9,5.0,8.0,"verkauft wird ein grauer Pullover der Fa. the north face.
Er ist in einem sehr guten Zustand",https://www.vinted.fr/items/2383089397-pullover-von-the-north-face,sweats,17.0,4.0,-0.36890962049378384,0
Mütze Carhartt,Carhartt,9.0,2.0,6,5.0,65.0,"Türkis farbene Mütze von Carhartt in Einheitsgröße. Nur ein paar mal getragen worden, quasi wie neu.

Nichtraucherhaushalt 🌼",https://www.vinted.fr/items/5953977091-mutze-carhartt,casquettes,15.0,5.0,-1.1657323466214538,1
Carhartt black jumper,Carhartt,30.0,3.0,8,5.0,32.0,Great condition,https://www.vinted.fr/items/6018344235-carhartt-black-jumper,sweats,25.0,6.0,0.6164884308538988,0
Carhartt Jacke,Carhartt,34.0,3.0,11,5.0,131.0,"Für Frauen oder zierliche Erwachsene oder Teenies.
Ich bin 1,69cm groß und wiege 57kg.",https://www.vinted.fr/items/5122828419-carhartt-jacke,manteaux,51.0,7.0,-0.8250979485256495,1
Sweater The North Face,The North Face,10.0,4.0,5,4.9,27.0,"Leuke sweater, prima voor tweede ronde",https://www.vinted.fr/items/5965225482-sweater-the-north-face,sweats,17.0,4.0,-1.0495619568488193,1
Gorra Carhatt Blanca,Carhartt,18.0,1.0,12,4.9,153.0,,https://www.vinted.fr/items/6012403273-gorra-carhatt-blanca,casquettes,15.0,5.0,0.6465776582834851,0
Carhartt Mütze Schwarz,Carhartt,4.0,3.0,0,5.0,13.0,Carhartt Mütze Schwarz,https://www.vinted.fr/items/6025771398-carhartt-mutze-schwarz,casquettes,15.0,5.0,-2.172571238235309,0
Carhartt Sweater,Carhartt,8.0,4.0,6,4.6,42.0,guter Zustand,https://www.vinted.fr/items/5286524981-carhartt-sweater,sweats,25.0,6.0,-1.7699424268621247,0
Carhartt  Herren Winter Jacke Mantel Ski Jacke Rot L,Carhartt,35.0,4.0,10,5.0,616.0,Getragener aber guter Zustand.,https://www.vinted.fr/items/3844750246-carhartt-herren-winter-jacke-mantel-ski-jacke-rot-l,manteaux,51.0,7.0,-0.7978875258422177,1
Carhartt Jacke,Carhartt,20.0,3.0,19,4.6,73.0,- guter zustand,https://www.vinted.fr/items/698904903-carhartt-jacke,manteaux,51.0,7.0,-1.2060438660936952,1
Winter Parka,Carhartt,40.0,4.0,18,5.0,218.0,"Jacke ist noch in einem guten Zustand, hat keine Löcher/Flecken, nur an den Ärmeln unten leichte Farbveränderung -siehe Foto.",https://www.vinted.fr/items/1544822861-winter-parka,manteaux,51.0,7.0,-0.6618354124250585,1
North face sweater dark blue,The North Face,7.5,4.0,8,3.5,8.0,Size M,https://www.vinted.fr/items/5222306274-north-face-sweater-dark-blue,sweats,17.0,4.0,-1.3898881250263369,0
Carhartt WIP 1/4 Zip Sweatshirt,Carhartt,40.0,3.0,25,,,Mit eingestickten Carhartt Logo,https://www.vinted.fr/items/2306869469-carhartt-wip-14-zip-sweatshirt,sweats,25.0,6.0,1.7012297298157275,0
The North face trui,The North Face,12.0,4.0,9,4.9,37.0,Nog erg mooi is wel gedragen,https://www.vinted.fr/items/5967112006-the-north-face-trui,sweats,17.0,4.0,-0.7773010223068051,1
Carhartt Mountain Coat Anthrazit // Winterjacke ,Carhartt,40.0,3.0,8,4.6,33.0,"Getragen, aber in sehr gutem Zustand.
Verstellbar an der Seite",https://www.vinted.fr/items/1587895939-carhartt-mountain-coat-anthrazit-winterjacke,manteaux,51.0,7.0,-0.6618354124250585,1
Sweat,The North Face,10.0,3.0,13,4.8,21.0,Sweat THE NORTH FACE,https://www.vinted.fr/items/5943322586-sweat,sweats,17.0,4.0,-1.0495619568488193,1
Carhartt WIP 1/4 Zip Sweatshirt,Carhartt,40.0,3.0,25,,,Mit eingestickten Carhartt Logo,https://www.vinted.fr/items/2306869469-carhartt-wip-14-zip-sweatshirt,sweats,25.0,6.0,1.7012297298157275,0
XS The North Face Pullover Damen ,The North Face,30.0,4.0,0,5.0,11.0,Pullover von The North Face in Schwarz,https://www.vinted.fr/items/2959599785-xs-the-north-face-pullover-damen,sweats,17.0,4.0,1.6730473885713224,0
Sweat The North Face,The North Face,15.0,3.0,1,5.0,28.0,"État parfait, très peu porté",https://www.vinted.fr/items/6008225669-sweat-the-north-face,sweats,17.0,4.0,-0.36890962049378384,0
Carhartt schwarzer Pullover,Carhartt,15.0,3.0,16,5.0,16.0,-bei Fragen einfach melden :),https://www.vinted.fr/items/5941938674-carhartt-schwarzer-pullover,sweats,25.0,6.0,-1.0106235175888445,0
Carhartt Marvin Coat Gr.M,Carhartt,30.0,3.0,10,5.0,297.0,Ungetragen!!,https://www.vinted.fr/items/5046225707-carhartt-marvin-coat-grm,manteaux,51.0,7.0,-0.9339396392593768,1
Sweat the  north  face homme  Taille  M,The North Face,30.0,3.0,0,4.9,46.0,"Marque: The North  Face
Couleur: Marron
Taille:  M
Matériaux: Coton  doux  et  durable
État:Très  bon état  

N’hésitez pas à  me  contacter  pour  plus  d’informations  ou  des  photos  supplémentaires










#thenorthface #sweatshirt #sweat #hoodie #sweatshirthomme  #sweatshirtthenorthface  #homme #laselevtionvinted #men #sweatshirtmen",https://www.vinted.fr/items/6016333853-sweat-the-north-face-homme-taille-m,sweats,17.0,4.0,1.6730473885713224,0
Hellgrau melierter Pullover,Carhartt,17.0,3.0,7,5.0,134.0,"Dünner Sweater Langarmshirt von Carharrt, perfekt für laue Sommerabende:) super Zustand.
L: 63cm
B (Achsel-Achsel): 56cm",https://www.vinted.fr/items/2029393667-hellgrau-melierter-pullover,sweats,25.0,6.0,-0.7936752577964786,1
Mütze Carhartt grau,Carhartt,10.0,3.0,8,5.0,206.0,,https://www.vinted.fr/items/5197618085-mutze-carhartt-grau,casquettes,15.0,5.0,-0.9643645682986828,1
Carhartt Cap weiß,Carhartt,23.0,3.0,14,5.0,22.0,,https://www.vinted.fr/items/5654681856-carhartt-cap-weiss,casquettes,15.0,5.0,1.65341654989734,0
North face hoodie ,The North Face,10.0,3.0,6,5.0,24.0,"Guter Zustand
Bei Fragen gerne melden 😊",https://www.vinted.fr/items/3786763147-north-face-hoodie,sweats,17.0,4.0,-1.0495619568488193,1
"Carhartt, Mütze, Khaki",Carhartt,8.0,3.0,12,4.8,204.0,Selten getragen,https://www.vinted.fr/items/5982032971-carhartt-mutze-khaki,casquettes,15.0,5.0,-1.3671001249442247,1
Carhartt Hoodie,Carhartt,20.0,3.0,3,5.0,17.0,"Carhartt Hoodie

Fällt normal aus wie eine M",https://www.vinted.fr/items/5646954797-carhartt-hoodie,sweats,25.0,6.0,-0.46825286810793,0
Schwarze Carhartt Winterjacke ,Carhartt,50.0,3.0,17,5.0,12.0,"Diese Winterjacke ist in einem sehr gutem Zustand und wurde nur wenig getragen. 
Sie hält sehr warm und an der Kapuze kann man das Fellimitat nach Lust und Laune ab oder dran machen :).",https://www.vinted.fr/items/967954767-schwarze-carhartt-winterjacke,manteaux,51.0,7.0,-0.38973118559074016,0
Sweat-shirt noir,The North Face,20.0,4.0,0,,,"Sweat-shirt noir
Taille S
Taille plutôt grand 
Bon état",https://www.vinted.fr/items/6014709354-sweat-shirt-noir,sweats,17.0,4.0,0.3117427158612516,0
